SKU,Category,Description,Last 4 Weeks Avg ROS,Budget Wkly Fwd ROS,Budget 4 Wks Fwd ROS,Stock,Retail (inc vat £),Landed Cost,Stockholding Value,Flat Cvr,Pre-Order Qty,Fwd Cvr (excluding goods on water),Good On Water,Flat Cover (inc Goods on Water),Fwd Cover (inc Goods on Water),No. Pre-Order Wks - Current ROS,No. Pre-Order Wks - Fwd ROS,PL's Approved,Units Called Off - Awaiting Confirmation,Open PO's,Balance Open PO's,Additional POS raised LW,Comments,Marketing Comments,,ON AMAZON UK FBA?,Sellable,Shopify,Amazon,Ebay,B&Q,Debenhams,Decathlon,MW,Tesco,Vente Unique,The Range,Wilko,Wayfair,Rackhams
5054487650697,Chemicals,Multi Functional Tablets Dispenser B,0,,,0,£3.08,£0.77,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,0,0,0,0,,CONSOLIDATE SKU  with 5054487582615,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5054487649431,Ground Cloth,Spa Ground Cloth For Atlantic Plus 6,2,,,90,£8.99,£1.91,£171.92,45.0,,90.0,0,45.0,90.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487649424,Ground Cloth,Spa Ground Cloth For Atlantic 4,1,,,50,£8.99,£1.38,£69.00,40.0,,50.0,0,40.0,50.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487648328,Headrest and Seats,Inflatable Headrest,1,,,"2,288",£7.99,£1.94,"£4,438.72",2288.0,,2288.0,0,2288.0,2288.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only ( Free head rest with all inflatables, 4 & 6 pcs per pre-order inflatable) until stocks last",clearance,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487648311,Chemicals,Hot Tub 3 In 1 Cleaning Kit,22,,,"1,366",£13.99,£5.22,"£7,128.22",63.5,,1366.0,0,63.5,1366.0,,,0,0,0,0,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487582615,Chemicals,Multi Functional Tablets Dispenser,1,,,0,£1.76,£0.44,£0.00,0.0,3,0.0,0,-3.0,-3.0,8,8,0,0,0,0,,Alternative to be sourced by NPD,,,,X,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487582424,Drink Holder,Pu Foam Drink Holder (Grey),3,,,924,£9.99,£6.45,"£5,960.60",336.0,,924.0,0,336.0,924.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only ( Free head rest with all inflatables, 4 & 6 pcs per pre-order inflatable) until stocks last",clearance,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487582417,Headrest and Seats,Pu Foam Headrest (Grey),10,,,"5,143",£9.99,£6.04,"£31,063.72",501.8,,5143.0,0,501.8,5143.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only ( Free head rest with all inflatables, 4 & 6 pcs per pre-order inflatable) until stocks last",clearance,,YES,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
5054487582240,Filter Sock,Filter Sock,0,,,0,£0.00,£0.00,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,0,0,0,0,,Moved to new SKU,,,,X,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
5054487529108,Headrest and Seats,Pu Foam Headrest (Black) A,47,,,"3,856",£9.99,£6.04,"£23,294.34",81.6,,3856.0,0,81.6,3856.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only ( Free head rest with all inflatables, 4 & 6 pcs per pre-order inflatable) until stocks last",clearance,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487529092,Drink Holder,Pu Foam Drink Holder (Black) A,24,,,"1,287",£9.99,£6.60,"£8,488.58",53.6,,1287.0,0,53.6,1287.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only ( Free head rest with all inflatables, 4 & 6 pcs per pre-order inflatable) until stocks last",clearance,,YES,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
5054487525957,Spa Air Valve,Air Valve (For Models Release Before 2020),1,,,323,£3.99,£0.00,£0.00,258.4,,323.0,0,258.4,323.0,,,0,0,0,0,,,,,,✓,✓,X,X,✓,X,X,X,X,X,X,X,X,X
TAH4LIDWW,Inflatable Lids,4 Person Round Tahoe Inflatable Lid WW,0,,,1,£13.99,£3.50,£3.50,1.0,,1.0,30,31.0,31.0,,,0,0,30,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
GA4FLIFBWW,Foam Base,4 Person Square Garda Floor Insulation Foam Base WW,0,,,51,£7.96,£1.99,£101.50,51.0,,51.0,0,51.0,51.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
GAR4LIDWW,Inflatable Lids,4 Person Square Inflatable Lid WW,0,,,0,£20.80,£5.20,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
PAC4DIBODGRATUK,Spa Body,4P Square Pacific DI Spa Body - Grey Rattan UK,0,,,1,£27.58,£6.90,£6.90,1.0,,1.0,0,1.0,1.0,7,7,0,0,16,16,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PAC4DIBODNAVUK,Spa Body,4P Square Pacific DI Spa Body - Navy UK,0,,,1,£26.38,£6.60,£6.60,1.0,,1.0,0,1.0,1.0,7,7,0,0,12,12,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CO6FLIFBWW,Foam Base,6 Person Octagon Como Floor Insulation Foam Base WW,0,,,65,£6.59,£1.65,£107.12,65.0,,65.0,0,65.0,65.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
COM6LIDWW,Inflatable Lids,6 Person Octagon Como Inflatable Lid WW,0,,,19,£14.17,£3.54,£67.32,19.0,,19.0,70,89.0,89.0,,,0,0,70,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
TA6FLIFBWW,Foam Base,6 Person Round Tahoe Floor Insulation Foam Base WW,0,,,33,£10.56,£2.64,£87.15,33.0,,33.0,0,33.0,33.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TAH6LIDWW,Inflatable Lids,6 Person Round Tahoe Inflatable Lid WW,0,,,7,£73.75,£18.44,£129.07,7.0,,7.0,0,7.0,7.0,1,1,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
GA6FLIFBWW,Foam Base,6 Person Square Garda Floor Insulation Foam Base WW,0,,,46,£8.03,£2.01,£92.37,46.0,,46.0,0,46.0,46.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
CONCAPWW,Air Connector,Air Connector with Screw Cap,0,,,115,£0.00,£0.00,£0.00,115.0,,115.0,0,115.0,115.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487648229,Bubble Mat,Atlantic Plus Spa Bubble Mat Liner (Blue 100Gsm)-Discountinue,0,,,6,£9.99,£0.00,£0.00,6.0,,6.0,0,6.0,6.0,2,2,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",clearance,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487649639,Bubble Mat,Atlantic Plus Spa Bubble Mat Liner (Blue 100Gsm) B,0,,,6,£9.99,£0.00,£0.00,6.0,,6.0,0,6.0,6.0,2,2,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",clearance,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487648243,Bubble Mat,Atlantic Spa Bubble Mat Liner (Blue 100Gsm)-Discountinue,0,,,22,£9.99,£1.46,£32.12,22.0,,22.0,0,22.0,22.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",clearance,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487650932,Air Connector,Connector 15cm B,0,,,2,£0.00,£0.00,£0.00,8.0,,2.0,0,8.0,2.0,,6,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487650949,Air Connector,Connector 20cm B,0,,,1,£0.00,£0.00,£0.00,1.0,,1.0,0,1.0,1.0,7,7, ,0,0,#VALUE!,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",,,,X,✓,X,X,X,X,X,X,X,X,X,X,X,X
5054487648298,Inflatable Seat,Inflatable Seat Cushion,9,,,0,£7.99,£2.00,£0.00,0.0,2,0.0,0,-0.2,-2.0,8,8,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
INFSPAPIPCLAWW,Pipe Clamp,Inflatable Spa Pipe Clamp WW,0,,,141,£0.04,£0.01,£1.41,141.0,,141.0,0,141.0,141.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
JILINTHEAT,Heater,Jilong Intergrated  Heater,0,,,131,£0.00,£0.00,£0.00,131.0,,131.0,0,131.0,131.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
JILEXTRUBSEALUK,Rubber Seal,JilongÂ  External Rubber Seals,0,,,1,£0.00,£0.00,£0.00,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487648496,Bubble Mat,Pacific Spa Bubble Mat Liner (Blue 100Gsm),0,,,21,£9.99,£2.10,£44.10,21.0,,21.0,0,21.0,21.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only

CONSOLIDATE",clearance,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
RECVACUK,Vacuum Cleaner,Rechargeable Pool Vacuum Cleaner UK,0,,,0,,£19.19,£0.00,0.0,4,0.0,0,-4.0,-4.0,8,8,0,0,150,150,,,,,,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
REPKITDGRYWW,Spa Repair Kit,Repair Kit - Dark Grey,0,,,29,£12.99,£0.02,£0.58,29.0,,29.0,0,29.0,29.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
REPKITSLAWW,Spa Repair Kit,Repair Kit - Slate WW,0,,,24,£12.99,£0.02,£0.48,24.0,,24.0,0,24.0,24.0,,,0,0,18,18,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
REPKITNAVWW,Spa Repair Kit,Repair Kit Navy,0,,,26,£12.99,£0.03,£0.78,26.0,,26.0,0,26.0,26.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5054487651700,Spa Repair Kit,Repair Kit With Glue (California Spa),0,,,3,£5.99,£1.26,£3.78,3.0,,3.0,0,3.0,3.0,5,5,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487651717,Spa Repair Kit,Repair Kit With Glue (Rome Spa),0,,,15,£5.99,£1.26,£18.90,15.0,,15.0,0,15.0,15.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
SOLFLTWW,Lights,Solar Floating Pool Light,10,,,157,,£7.35,"£1,153.95",16.1,,157.0,0,16.1,157.0,,,0,0,0,0,,Free with every foam spaswhile stocks last - then discontintued,,,,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
5060959540656,Ground Cloth,SP. 00698 UK Ground Cloth For 3 Person Spa,0,,,12,£7.99,£0.00,£0.00,12.0,,12.0,0,12.0,12.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",clearance,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
2PAV24WW,Spa Air Valve,Two-Part Air Valves WW,0,,,411,£3.99,£0.02,£6.70,411.0,,411.0,0,411.0,411.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
BLOWOUT24WW,Outlet Cap,Wave Blower Oulet Cap For 2024 Integrated Spa WW,0,,,284,£3.99,£0.01,£2.15,284.0,,284.0,0,284.0,284.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
AIC24WW,Hose Cap,Wave Drain Hose Caps For 2024 And 2025 Spas Back WW,0,,,404,£3.99,£0.05,£20.60,404.0,,404.0,0,404.0,404.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
INCON24WW,Inlet Connector,Wave Inlet Connector For 2024 Spas,0,,,354,£3.99,£0.01,£3.65,354.0,,354.0,0,354.0,354.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
LEDFOUWW,LED Fountain,Wave Led Fountain With Water Ripples  Light Show,0,,,212,,£8.98,"£1,903.76",212.0,,212.0,0,212.0,212.0,,,0,0,0,0,,,,,,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X,X
OUTCON24WW,Outlet Connector,Wave Outlet Connector For 2024 Spas WW,0,,,167,£4.99,£0.02,£3.15,167.0,,167.0,0,167.0,167.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
POLCON24WW,Pole Connector,Wave Pole Connector For 2024 Spas,0,,,230,£4.99,£0.20,£47.07,230.0,,230.0,0,230.0,230.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
2424WRENWW,Wrench,Wrench For 2024 Spas WW,0,,,324,£12.99,£0.03,£10.12,324.0,,324.0,0,324.0,324.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487655463,Chemicals,3Pk Hot Tub Magic Cleaning Foam,0,,,"1,625",,£0.36,£584.29,1625.0,,1625.0,0,1625.0,1625.0,,,0,0,0,0,,"Pre-order Promo ie Magic cleaning foam, Relaxing Scent, Chlorine 500g or 1kg Foam Spas",,,,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X
5054487655432,Chemicals,Chemical -Measuring Set - 6Pcs,0,,,628,,£0.65,£406.34,628.0,,628.0,0,628.0,628.0,,,0,0,0,0,,,,,,✓,✓,✓,✓,✓,✓,X,X,X,X,X,X,X,X
,,Spa Accessories Total,161,17,70,"24,140",,,,150,9,"1,382",100,151,"1,387",,,50,0,347,#VALUE!,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060959540151,Phone Covers,SP. 00650 Wave Waterproof Phone Case Aqua Green,16,11,44,231,,£0.81,£187.80,14.4,,21.1,0,14.4,21.1,,,0,0,0,0,,"Used for promo, CS incentive product for customers",,,,✓,✓,✓,X,X,X,X,X,X,X,X,X,X,X
5060959540199,Phone Covers,SP. 00654 Wave Waterproof Phone Case Black,35,13,52,230,,£0.86,£196.76,6.6,,17.8,0,6.6,17.8,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,
5060959540328,Phone Covers,SP. 00671 Wave Waterproof Phone Case Orange,18,6,25,101,,£0.81,£82.06,5.5,,16.3,0,5.5,16.3,2,,0,0,0,0,,,,,,,,,,,,,,,,,,,
5060959540335,Phone Covers,SP. 00672 Wave Waterproof Phone Case White,5,6,24,238,,£0.81,£193.33,50.1,,39.6,0,50.1,39.6,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
5061091485034,Phone Covers,Wave Waterproof Phone Case Red,4,2,6,315,,£0.81,£255.72,84.0,,202.1,0,84.0,202.1,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
BUNGEKIT3WW,Bungees,3.0 Bungee Pack,0,,,0,,£0.00,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,0,0,306,306,,,,,,✓,,X,X,X,X,X,X,X,X,X,X,X,X
SLFIN3CNVWW,Fins,"Slot Fin with Clip for 3.0 Cruiser, Navigator, Voyager",0,,,73,,£0.73,£53.29,73.0,,73.0,95,168.0,168.0,,,0,0,109,14,,,,,,✓,✓,X,X,X,✓,X,X,X,X,X,X,X,X
QRFN3TRNBWW,Fins,"Quick Release Fin for 3.0 Tourer, Recon, Navigator, Venturer, Trailblazer",0,,,94,,£2.18,£205.11,94.0,,94.0,205,299.0,299.0,,,0,0,257,52,,,,,,✓,✓,X,X,X,X,✓,X,X,X,X,X,X,X
QRLWBLT3WW,Leash,Quick Release Waist Leash Belt 3.0,0,,,168,,£2.98,£501.03,168.0,,168.0,195,363.0,363.0,,,0,0,200,5,,,,,,✓,✓,X,X,X,X,✓,X,X,X,X,X,X,X
QRLANK3WW ,Leash,QRL Coil Ankle Leash,0,,,0,,£0.00,£0.00,0.0,0,,0,,,8,8,0,0,0,0,,Not listed - check,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5060959546719,Leash,QRL Coil Ankle Leash (discontinued),0,,,180,,£1.96,£352.80,180.0,,,0,,,8,8,0,0,0,0,,,,,YES,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
5054487757679,Leash,Coiled Ankle Leash (discontinued),0,,,237,,£0.00,£0.00,237.0,,,0,,,8,8,0,0,0,0,,,,,,✓,✓,X,✓,X,X,X,X,X,X,X,X,X,X
5060959546962,Leash,Non-Coiled Ankle Leash (discontinued),0,,,55,,£3.60,£198.00,55.0,,,0,,,8,8,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
BKPK1CWW,Backpack,Wave BackPack 1 Cruiser 3.0,0,,,62,,£6.45,£399.77,62.0,,62.0,70,132.0,132.0,,,0,0,79,9,,,,,,✓,✓,X,X,X,X,✓,X,X,X,X,X,X,X
BKPK2TWSRWW,Backpack,"Wave BackPack 2 Tourer, Woody, Surf, Recon 3.0",0,,,61,,£6.85,£417.97,61.0,,61.0,70,131.0,131.0,,,0,0,141,71,,,,,,✓,✓,X,X,X,X,✓,X,X,X,X,X,X,X
SUNIRPKITWW,Sup Accessories,"Wave SUP Universal Repair Kit NAVY, AQUA, KHAKI, RED, BLACK",0,,,95,,£0.78,£73.88,95.0,,95.0,0,95.0,95.0,,,0,0,56,56,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
PMP3TBLKWW,Foot Pump,Wave Black Pump 3 Triple Action ,0,,,242,,£15.89,"£3,844.36",242.0,,242.0,0,242.0,242.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,✓,X,X,X,X,X,X,X
BKPK3PROWW ,Backpack,Wave BackPack 3 Pro 3.0 ,0,,,0,,£0.00,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,0,0,0,0,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
BP20PSIHT737,Electric Pump,Electric Pump HT737 20 PSI,5,3,13,155,,£25.26,"£3,915.30",29.5,,48.3,0,29.5,48.3,,,0,0,0,0,,,,,YES,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
ELPUMPBLKOR,Electric Pump,Electric Pump 20PSI Black/Orange,12,15,60,113,,£36.34,"£4,106.05",9.8,,7.5,0,9.8,7.5,,,0,0,152,152,,£50 off promo opportunity with every sup sold,,,,✓,✓,✓,✓,X,X,✓,X,X,X,X,X,X,X
KAYAKREPKFS,Repair Kit,FS Kayak Repair Kit,0,,,63,,£0.02,£1.26,63.0,,63.0,0,63.0,63.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
SUPLPFIN,Fins,Low Profile Fin - Compatible With 2.0 Model Sups,0,,,175,,£0.73,£128.04,175.0,,175.0,0,175.0,175.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
EXNASEAT2,Seat,Kayak Seat 2.0,0,,,152,,£4.53,£688.56,152.0,,152.0,0,152.0,152.0,,,0,0,10,10,,,,,YES,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959547556,Clips,Wave Kayak Metal Clips Set (2 X 25Mm For Footrest & 2 X 38Mm For Seat),0,,,145,,£0.00,£0.00,145.0,,145.0,0,145.0,145.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959546979,Waist Belt,Wave Sup Waist Belt,0,,,94,,£3.78,£355.38,94.0,,94.0,0,94.0,94.0,,,0,0,0,0,,"CLEARANCE - Reduce to cover pick, postage and processing fees only",,,,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
5060959546832,Paddles,Wave Tourer Aluminium Paddle Black/Navy,0,,,70,,£7.26,£508.20,70.0,,70.0,0,70.0,70.0,,,0,0,0,0,,,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5060959545750,Paddles,Wave Kayak Double Paddle,0,,,31,,£7.32,£226.92,31.0,,31.0,0,31.0,31.0,,,0,0,0,0,,,,,YES,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959540441,Paddles,SP. 00683 Wave Kids Kayak Paddle (4Pcs)-Navy,0,,,28,£99.99,£6.03,£168.84,28.0,,28.0,0,28.0,28.0,,,0,0,0,0,,,,,YES,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959540106,Leash,SP. 00645 Wave Sup Leash Non-Coiled -Black,0,,,5,,£3.12,£15.60,5.0,,5.0,0,5.0,5.0,,,0,0,0,0,,Not listed - check,,,,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
5060959540090,Seat,SP. 00644  Wave Kayak Seat - Black,0,,,111,,£6.75,£749.25,111.0,,111.0,0,111.0,111.0,,,0,0,0,0,,,,,YES,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5054487760303,Backpack,Wave Pro Backpack 1000D,0,,,62,,£9.72,£602.64,62.0,,62.0,0,62.0,62.0,,,0,0,0,0,,,,,YES,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
5054487758416,Pump Hose,Wave Tourer Pump Hose A,0,,,204,,£1.52,£310.08,204.0,,204.0,0,204.0,204.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5054487758133,Air Valve,Wave Air Valve,0,,,104,,£0.00,£0.00,104.0,,104.0,0,104.0,104.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487757709,Repair Kit,SP. 00525-UK Wave Tourer Sup Repair Kit (Navy) Val-Cat3,0,,,174,,£0.00,£0.00,174.0,,174.0,0,174.0,174.0,,,0,0,0,0,,,,,,✓,✓,✓,X,X,X,X,X,X,X,X,X,X,X
5054487757693,Repair Kit,WW Wave Sup Repair Kit (Aqua) A,0,,,88,,£0.40,£35.20,88.0,,88.0,0,88.0,88.0,,,0,0,0,0,,,,,,✓,✓,✓,X,X,X,X,X,X,X,X,X,X,X
AIRV3WSPWW,Air Valve,"Air Valve For 3.0 Woody, Surf, Pro",0,,,117,,£0.82,£96.10,117.0,,117.0,0,117.0,117.0,,,6,0,6,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
SEALPUMP,Ring Seal,Black Silicone Ring Seal For Hand Pump 4Mm,0,,,59,,£0.00,£0.00,59.0,,59.0,0,59.0,59.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
SEALPUMP5MM,Ring Seal,Black Silicone Ring Seal For Hand Pump 5Mm,0,,,54,,£0.00,£0.00,54.0,,54.0,0,54.0,54.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
EXNAKBOH2,Bottle Holder,Bottle Holder,0,,,39,,£0.38,£14.82,39.0,,39.0,0,39.0,39.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5054487760204,Fins,Fin Clip - Navy,0,,,47,,£0.08,£3.76,47.0,,47.0,0,47.0,47.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
KYKEXPKIT,Expansion Pack,Kayak Expansion Kit,0,,,325,,£15.94,"£5,180.25",325.0,,325.0,0,325.0,325.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
EXNAKFTR2,Foot Rest,Kayak Foot Rest 2.0,0,,,79,,£2.14,£169.06,79.0,,79.0,0,79.0,79.0,,,0,0,1,1,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
KAYPHOOK,Hook,Kayak Plastic Hook,0,,,6,,£0.00,£0.00,6.0,,6.0,0,6.0,6.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
KYKSTRBUCK,Clips,Kayak Strap Plastic Buckle,0,,,157,,£0.00,£0.00,157.0,,157.0,0,157.0,157.0,,,0,0,0,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487760259,Clips,Paddle Clip - For Alu Paddle,0,,,75,,£0.00,£0.00,75.0,,75.0,0,75.0,75.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
PRESGAUGEFS,Pressure Gauge,Pressure Gauge,0,,,73,,£0.06,£4.38,73.0,,73.0,0,73.0,73.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
PRO126QRRFINWW,Fins,Pro 12'6 Quick Release Racing Fin,0,,,60,,£3.79,£227.40,60.0,,60.0,0,60.0,60.0,,,0,0,0,0,,,,,,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
QRFINWW,Fins,Quick Release Fin,0,,,74,,£0.00,£0.00,74.0,,74.0,0,74.0,74.0,,,0,0,0,0,,,,,,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
QRFIN3WSPW,Fins,"Quick Release Fin For 3.0 Woody, Surf, Pro",0,,,101,,£1.98,£200.07,101.0,,101.0,0,101.0,101.0,,,6,0,6,0,,,,,,✓,✓,X,X,X,X,✓,X,X,X,X,X,X,X
QRWBELTWW,Waist Belt,Quick Release Waist Belt,0,,,206,,£5.26,"£1,083.56",206.0,,206.0,0,206.0,206.0,,,0,0,0,0,,,,,,✓,✓,✓,✓,X,X,X,X,X,X,X,X,X,X
SQRFIN3PROWW,Fins,Small Quick Release Fin For 3.0 Pro Only,0,,,123,,£1.03,£126.60,123.0,,123.0,0,123.0,123.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,✓,X,X,X,X,X,X,X
5060959547303,Fins,SP. 00609 N Wave New Slim Fin Clip - Aqua,0,,,50,,£0.00,£0.00,50.0,,50.0,0,50.0,50.0,,,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959547006,Fins,SP. 00609-1 UK Wave Resized/Slim Fin Clip - Aqua,0,,,2,,£0.00,£0.00,2.0,,2.0,0,2.0,2.0,,,0,0,0,0,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5054487760266,Paddle,SP. 00616 Paddle Shaft,0,,,102,,£0.00,£0.00,102.0,,102.0,0,102.0,102.0,,,0,0,0,0,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
